cycle number,ox/red,control changes,Ns changes,time/s,step time/s,Ecell/V,<I>/mA,Capacity/mA.h,Q discharge/mA.h,Q charge/mA.h,dq/mA.h,Efficiency/%,Unnamed: 13
11.0,1,0,0,1275419.413153585,1111.998132560402,1.8724492,1.176435622351869,0.3633847771572403,0.0,0.3633847771572403,0.003261341363787651,0.0,
11.0,1,0,0,1275428.48715467,1121.072133645415,1.8824564,1.17642284480771,0.3663500166489679,0.0,0.3663500166489679,0.002965239491727617,0.0,
11.0,1,0,0,1275436.629155639,1129.214134613983,1.8924637,1.176436843193948,0.3690107249591746,0.0,0.3690107249591746,0.002660708310206731,0.0,
11.0,1,0,0,1275443.999156519,1136.584135494661,1.9024708,1.176445344746779,0.371419170299967,0.0,0.371419170299967,0.002408445340792338,0.0,
11.0,1,0,0,1275450.789157327,1143.37413630262,1.9125175,1.176408639338768,0.3736380079698561,0.0,0.3736380079698561,0.002218837669889132,0.0,
11.0,1,0,0,1275456.989158068,1149.574137043208,1.9225248,1.176427435248986,0.375664077683687,0.0,0.375664077683687,0.002026069713830948,0.0,
11.0,1,0,0,1275462.697158746,1155.282137721777,1.9325714,1.176424777029442,0.3775293647463452,0.0,0.3775293647463452,0.001865287062658204,0.0,
11.0,1,0,0,1275468.009159382,1160.594138356857,1.9425787,1.176414459645871,0.3792652298454442,0.0,0.3792652298454442,0.001735865099098947,0.0,
11.0,1,0,0,1275472.917159963,1165.502138938755,1.9526254,1.176409632953109,0.3808690685018564,0.0,0.3808690685018564,0.001603838656412231,0.0,
11.0,1,0,0,1275477.503160513,1170.088139488362,1.962672,1.176431201665137,0.3823677113178039,0.0,0.3823677113178039,0.001498642815947533,0.0,
11.0,1,0,0,1275481.719161015,1174.30413999036,1.9726793,1.176444256326045,0.3837454584220381,0.0,0.3837454584220381,0.001377747104234166,0.0,
11.0,1,0,0,1275485.687161487,1178.272140461951,1.9826865,1.176450554580746,0.3850421685207551,0.0,0.3850421685207551,0.001296710098716948,0.0,
