"","mode","ox.red","error","control.changes","Ns.changes","counter.inc.","Ns","I.Range","time.s","control.mA","Ewe.V","X.I..mA","dq.mA.h","X.Q.Qo..mA.h","Energy.W.h","Q.charge.discharge.mA.h","half.cycle"
"1427",1,TRUE,FALSE,TRUE,FALSE,TRUE,2,115,14235.9266761702,1.26699995994568,0.0937720313668251,1.26619005203247,0.00351701009147697,-0.0876271060064104,0.000459322688801651,0.548655096564492,7
"1428",1,TRUE,FALSE,TRUE,FALSE,TRUE,2,115,14245.9266766452,1.26699995994568,0.093732662498951,1.26579642295837,0.00351704715960556,-0.0841100588468048,0.000459652555717426,0.552172143724097,7
"1429",1,TRUE,FALSE,TRUE,FALSE,TRUE,2,115,14255.9266771202,1.26699995994568,0.0937720313668251,1.26579642295837,0.00351701916323768,-0.0805930396835672,0.000459982103415676,0.555689162887335,7
"1430",1,TRUE,FALSE,TRUE,FALSE,TRUE,2,115,14265.9266775951,1.26699995994568,0.093535803258419,1.2663871049881,0.00351702036248313,-0.077076019321084,0.000460311324248448,0.559206183249818,7
"1431",1,TRUE,FALSE,TRUE,FALSE,TRUE,2,115,14275.9266780701,1.26699995994568,0.0934176966547966,1.26599323749542,0.00351697913527489,-0.0735590401858091,0.000460640181625926,0.562723162385093,7
"1432",1,TRUE,FALSE,TRUE,FALSE,TRUE,2,115,14285.9266785451,1.26699995994568,0.0933783203363419,1.26678073406219,0.00351694303817219,-0.0700420971476369,0.000460968708987209,0.566240105423265,7
"1433",1,TRUE,FALSE,TRUE,FALSE,TRUE,2,115,14295.92667902,1.26699995994568,0.0932995826005936,1.26619005203247,0.00351695682088534,-0.0665251403267516,0.000461296942262515,0.56975706224415,7
"1434",1,TRUE,FALSE,TRUE,FALSE,TRUE,2,115,14305.926679495,1.26699995994568,0.0931814685463905,1.26559948921204,0.00351698022484779,-0.0630081601019038,0.000461624839892025,0.573274042468998,7
"1435",1,TRUE,FALSE,TRUE,FALSE,TRUE,2,115,14315.92667997,1.26699995994568,0.0930239856243134,1.2663871049881,0.00351703742908107,-0.0594911226728227,0.000461952410310198,0.576791079898079,7
"1436",1,TRUE,FALSE,TRUE,FALSE,TRUE,2,115,14325.926680445,1.26699995994568,0.0929058715701103,1.2663871049881,0.0035170051634974,-0.0559741175093253,0.000462279620532834,0.580308085061577,7
"1437",1,TRUE,FALSE,TRUE,FALSE,TRUE,2,115,14335.9266809199,1.26699995994568,0.0927877575159073,1.26599323749542,0.00351699619385931,-0.052457121315466,0.000462606597018029,0.583825081255436,7
"1438",1,TRUE,FALSE,TRUE,FALSE,TRUE,2,115,14345.9266813949,1.26699995994568,0.0929058715701103,1.26619005203247,0.00351700505428844,-0.0489401162611776,0.000462933202125602,0.587342086309724,7
"1439",1,TRUE,FALSE,TRUE,FALSE,TRUE,2,115,14355.9266818699,1.26699995994568,0.0927877575159073,1.26540267467499,0.00351694675776694,-0.0454231695034107,0.000463259445161345,0.590859033067491,7
"1440",1,TRUE,FALSE,TRUE,FALSE,TRUE,2,115,14365.9266823449,1.26699995994568,0.092590905725956,1.26599323749542,0.00351700012829569,-0.041906169375115,0.000463585381678527,0.594376033195787,7
"1441",1,TRUE,FALSE,TRUE,FALSE,TRUE,2,115,14375.9266828198,1.26699995994568,0.0924727916717529,1.26579642295837,0.00351702386604415,-0.0383891455090708,0.000463911022469594,0.597893057061831,7
"1442",1,TRUE,FALSE,TRUE,FALSE,TRUE,2,115,14385.9266832948,1.26699995994568,0.0924727916717529,1.26619005203247,0.00351700559900867,-0.0348721399100622,0.000464236306207848,0.60141006266084,7
