cycle number	ox/red	control changes	Ns changes	time/s	step time/s	Ecell/V	<I>/mA	Capacity/mA.h	Q discharge/mA.h	Q charge/mA.h	dq/mA.h	
0.000000000000000E+000	0	0	0	1.087000051629730E+001	1.087000051629730E+001	2.3578653E+000	-2.880241046330117E-001	6.865729479326141E-005	6.865729479326141E-005	0.000000000000000E+000	-4.160348375638326E-006
0.000000000000000E+000	0	0	0	1.092400051886216E+001	1.092400051886216E+001	2.3476994E+000	-2.881299010045111E-001	7.297924351361061E-005	7.297924351361061E-005	0.000000000000000E+000	-4.321948720349206E-006
0.000000000000000E+000	0	0	0	1.098000052152202E+001	1.098000052152202E+001	2.3376124E+000	-2.882562845270158E-001	7.746323037478658E-005	7.746323037478658E-005	0.000000000000000E+000	-4.483986861175961E-006
0.000000000000000E+000	0	0	0	1.104200052446686E+001	1.104200052446686E+001	2.3273282E+000	-2.882179279098905E-001	8.242698381344476E-005	8.242698381344476E-005	0.000000000000000E+000	-4.963753438658184E-006
0.000000000000000E+000	0	0	0	1.110800052760169E+001	1.110800052760169E+001	2.3170836E+000	-2.883016953297932E-001	8.771251514554023E-005	8.771251514554023E-005	0.000000000000000E+000	-5.285531332095464E-006
0.000000000000000E+000	0	0	0	1.117800053092651E+001	1.117800053092651E+001	2.3069177E+000	-2.882295446073972E-001	9.331697877910402E-005	9.331697877910402E-005	0.000000000000000E+000	-5.604463633563783E-006
0.000000000000000E+000	0	0	0	1.125400053453632E+001	1.125400053453632E+001	2.2967913E+000	-2.882418385801768E-001	9.940208454926808E-005	9.940208454926808E-005	0.000000000000000E+000	-6.085105770164066E-006
0.000000000000000E+000	0	0	0	1.133600053843111E+001	1.133600053843111E+001	2.2867436E+000	-2.882379221955838E-001	1.059675042000082E-004	1.059675042000082E-004	0.000000000000000E+000	-6.565419650740094E-006
0.000000000000000E+000	0	0	0	1.142600054270588E+001	1.142600054270588E+001	2.2767355E+000	-2.881882722718830E-001	1.131722113490105E-004	1.131722113490105E-004	0.000000000000000E+000	-7.204707149002287E-006
0.000000000000000E+000	0	0	0	1.152400054736063E+001	1.152400054736063E+001	2.2666879E+000	-2.883316664568617E-001	1.210212404198117E-004	1.210212404198117E-004	0.000000000000000E+000	-7.849029070801205E-006
0.000000000000000E+000	0	0	0	1.163400055258535E+001	1.163400055258535E+001	2.2565219E+000	-2.882408037694433E-001	1.298285987310939E-004	1.298285987310939E-004	0.000000000000000E+000	-8.807358311282263E-006
0.000000000000000E+000	0	0	0	1.175600055838004E+001	1.175600055838004E+001	2.2462380E+000	-2.882517849698036E-001	1.395971319079399E-004	1.395971319079399E-004	0.000000000000000E+000	-9.768533176845975E-006
0.000000000000000E+000	0	0	0	1.189200056483969E+001	1.189200056483969E+001	2.2361903E+000	-2.882355897577668E-001	1.504860324826505E-004	1.504860324826505E-004	0.000000000000000E+000	-1.088890057471063E-005
0.000000000000000E+000	0	0	0	1.204000057186931E+001	1.204000057186931E+001	2.2261426E+000	-2.882743473800631E-001	1.623373117711809E-004	1.623373117711809E-004	0.000000000000000E+000	-1.185127928853035E-005
0.000000000000000E+000	0	0	0	1.220400057965890E+001	1.220400057965890E+001	2.2160161E+000	-2.882859708058497E-001	1.754703399538994E-004	1.754703399538994E-004	0.000000000000000E+000	-1.313302818271849E-005
0.000000000000000E+000	0	0	0	1.238400058820844E+001	1.238400058820844E+001	2.2060080E+000	-2.883480590714598E-001	1.898877435922622E-004	1.898877435922622E-004	0.000000000000000E+000	-1.441740363836288E-005
0.000000000000000E+000	0	0	0	1.258200059761293E+001	1.258200059761293E+001	2.1959996E+000	-2.883335326375308E-001	2.057460886405574E-004	2.057460886405574E-004	0.000000000000000E+000	-1.585834504829513E-005
0.000000000000000E+000	0	0	0	1.280000060796738E+001	1.280000060796738E+001	2.1859126E+000	-2.882798434179819E-001	2.232030355433623E-004	2.232030355433623E-004	0.000000000000000E+000	-1.745694690280490E-005
0.000000000000000E+000	0	0	0	1.303800061927177E+001	1.303800061927177E+001	2.1758649E+000	-2.882417977189671E-001	2.422590219643381E-004	2.422590219643381E-004	0.000000000000000E+000	-1.905598642097579E-005
0.000000000000000E+000	0	0	0	1.329400063143112E+001	1.329400063143112E+001	2.1658566E+000	-2.883026747000996E-001	2.627605464723375E-004	2.627605464723375E-004	0.000000000000000E+000	-2.050152450799942E-005
0.000000000000000E+000	0	0	0	1.357400064473040E+001	1.357400064473040E+001	2.1558485E+000	-2.883378956285134E-001	2.851868283086353E-004	2.851868283086353E-004	0.000000000000000E+000	-2.242628183629778E-005
0.000000000000000E+000	0	0	0	1.387800065916963E+001	1.387800065916963E+001	2.1457615E+000	-2.883247872624978E-001	3.095342559450203E-004	3.095342559450203E-004	0.000000000000000E+000	-2.434742763638496E-005
0.000000000000000E+000	0	0	0	1.421200067503378E+001	1.421200067503378E+001	2.1357532E+000	-2.883019089103896E-001	3.362822676532798E-004	3.362822676532798E-004	0.000000000000000E+000	-2.674801170825958E-005
0.000000000000000E+000	0	0	0	1.456800069194287E+001	1.456800069194287E+001	2.1257448E+000	-2.882775478850695E-001	3.647897154092789E-004	3.647897154092789E-004	0.000000000000000E+000	-2.850744775599904E-005
0.000000000000000E+000	0	0	0	1.495800071046688E+001	1.495800071046688E+001	2.1157367E+000	-2.882983885365062E-001	3.960220423175229E-004	3.960220423175229E-004	0.000000000000000E+000	-3.123232690824403E-005
0.000000000000000E+000	0	0	0	1.537600073032081E+001	1.537600073032081E+001	2.1057284E+000	-2.882423119950362E-001	4.294901790221533E-004	4.294901790221533E-004	0.000000000000000E+000	-3.346813670463032E-005
0.000000000000000E+000	0	0	0	1.583200075197965E+001	1.583200075197965E+001	2.0956807E+000	-2.882936828545942E-001	4.660073805848758E-004	4.660073805848758E-004	0.000000000000000E+000	-3.651720156272252E-005
