cycle number	ox/red	control changes	Ns changes	time/s	step time/s	Ecell/V	<I>/mA	Capacity/mA.h	Q discharge/mA.h	Q charge/mA.h	dq/mA.h	Efficiency/%	
3.000000000000000E+000	1	0	0	1.207548373062745E+006	2.837618338268949E+003	2.6902072E+000	5.852852691969849E-001	4.612860392747983E-001	0.000000000000000E+000	4.612860392747983E-001	4.259576638539632E-005	0.0000000E+000
3.000000000000000E+000	1	0	0	1.207548633062775E+006	2.837878338299692E+003	2.7002144E+000	5.852639349909554E-001	4.613283083417679E-001	0.000000000000000E+000	4.613283083417679E-001	4.226906696955363E-005	0.0000000E+000
3.000000000000000E+000	1	0	0	1.207548639062776E+006	2.837884338300675E+003	2.7004509E+000	5.851704909869720E-001	4.613292836260794E-001	0.000000000000000E+000	4.613292836260794E-001	9.752843115064833E-007	0.0000000E+000
3.000000000000000E+000	1	0	0	1.207548641062776E+006	2.837886338300072E+003	2.7006085E+000	5.853020526821400E-001	4.613296087937884E-001	0.000000000000000E+000	4.613296087937884E-001	3.251677089267307E-007	0.0000000E+000
3.000000000000000E+000	1	1	0	1.207548677062780E+006	2.837922338304110E+003	2.7001750E+000	5.843280825544933E-001	4.613354520752694E-001	0.000000000000000E+000	4.613354520752694E-001	5.843281481001112E-006	0.0000000E+000
3.000000000000000E+000	1	1	0	1.207668677077085E+006	2.957922352609225E+003	2.7001357E+000	7.749936915049090E-002	4.639187646882406E-001	0.000000000000000E+000	4.639187646882406E-001	2.583312612971188E-003	0.0000000E+000
3.000000000000000E+000	1	1	0	1.207788677091390E+006	3.077922366914339E+003	2.7001357E+000	9.950492510816044E-003	4.642504478114741E-001	0.000000000000000E+000	4.642504478114741E-001	3.316831232335729E-004	0.0000000E+000
3.000000000000000E+000	1	1	0	1.207908677105695E+006	3.197922381219454E+003	2.7001357E+000	5.160431740252678E-003	4.644224622233216E-001	0.000000000000000E+000	4.644224622233216E-001	1.720144118474693E-004	0.0000000E+000
3.000000000000000E+000	1	1	0	1.208028677120000E+006	3.317922395524569E+003	2.7002144E+000	3.224469341270943E-003	4.645299445475102E-001	0.000000000000000E+000	4.645299445475102E-001	1.074823241885881E-004	0.0000000E+000
3.000000000000000E+000	1	1	0	1.208148677134305E+006	3.437922409829684E+003	2.7001357E+000	2.223628137530883E-003	4.646040654942638E-001	0.000000000000000E+000	4.646040654942638E-001	7.412094675360045E-005	0.0000000E+000
3.000000000000000E+000	1	1	0	1.208268677148610E+006	3.557922424134798E+003	2.7001357E+000	1.652795396747965E-003	4.646591586807230E-001	0.000000000000000E+000	4.646591586807230E-001	5.509318645921768E-005	0.0000000E+000
3.000000000000000E+000	1	1	0	1.208388677162915E+006	3.677922438439913E+003	2.7001750E+000	1.324765792339271E-003	4.647033175457318E-001	0.000000000000000E+000	4.647033175457318E-001	4.415886500878868E-005	0.0000000E+000
3.000000000000000E+000	1	1	0	1.208508677177221E+006	3.797922452745028E+003	2.7000961E+000	1.127562701413749E-003	4.647409029735928E-001	0.000000000000000E+000	4.647409029735928E-001	3.758542786098992E-005	0.0000000E+000
3.000000000000000E+000	1	1	0	1.208628677191526E+006	3.917922467050143E+003	2.7001750E+000	9.120808596480743E-004	4.647713056725387E-001	0.000000000000000E+000	4.647713056725387E-001	3.040269894588619E-005	0.0000000E+000
3.000000000000000E+000	1	1	0	1.208748677205831E+006	4.037922481355257E+003	2.7002933E+000	7.750673492367293E-004	4.647971412539264E-001	0.000000000000000E+000	4.647971412539264E-001	2.583558138773191E-005	0.0000000E+000
3.000000000000000E+000	1	1	0	1.208868677220136E+006	4.157922495660372E+003	2.7001750E+000	6.575109119796523E-004	4.648190582869384E-001	0.000000000000000E+000	4.648190582869384E-001	2.191703301203537E-005	0.0000000E+000
3.000000000000000E+000	0	1	0	1.208988677234441E+006	4.277922509965487E+003	2.7001750E+000	5.788292349164700E-004	4.648383525970690E-001	0.000000000000000E+000	4.648383525970690E-001	1.929431013060973E-005	0.0000000E+000
3.000000000000000E+000	1	1	0	1.209108677248746E+006	4.397922524270602E+003	2.7002144E+000	5.132239718783763E-004	4.648554600648377E-001	0.000000000000000E+000	4.648554600648377E-001	1.710746776864805E-005	0.0000000E+000
3.000000000000000E+000	1	1	0	1.209228677263051E+006	4.517922538575716E+003	2.7001750E+000	4.738371813843784E-004	4.648712546394334E-001	0.000000000000000E+000	4.648712546394334E-001	1.579457459567241E-005	0.0000000E+000
3.000000000000000E+000	1	1	0	1.209348677277356E+006	4.637922552880831E+003	2.7000961E+000	4.301506662977394E-004	4.648855929966859E-001	0.000000000000000E+000	4.648855929966859E-001	1.433835725252316E-005	0.0000000E+000
3.000000000000000E+000	0	1	0	1.209468677291662E+006	4.757922567185946E+003	2.7002144E+000	3.906949491443341E-004	4.648986161632098E-001	0.000000000000000E+000	4.648986161632098E-001	1.302316652396005E-005	0.0000000E+000
3.000000000000000E+000	1	1	0	1.209588677305967E+006	4.877922581491061E+003	2.7001357E+000	3.604852803009848E-004	4.649106323406523E-001	0.000000000000000E+000	4.649106323406523E-001	1.201617744247263E-005	0.0000000E+000
